SID,NUMBER,ISO_TIME,NATURE,LAT,LON
1842298N11080,1,1842-10-25 03:00:00,Not reported,10.9,80.3
1845336N10074,1,1845-12-02 03:00:00,Not reported,10,74.3
1848011S09079,1,1848-01-11 06:00:00,Not reported,-9,79
1848011S09080,2,1848-01-11 06:00:00,Not reported,-8.6,79.8
1848011S15057,3,1848-01-11 06:00:00,Not reported,-15.2,57.4
1848011S16057,4,1848-01-11 06:00:00,Not reported,-15.8,56.8
1848061S12075,5,1848-02-29 18:00:00,Not reported,-11.5,75
1848112S07084,6,1848-04-21 06:00:00,Not reported,-6.7,83.8
1848112S07444,7,1848-04-20 18:00:00,Not reported,-7.1,83.7
1851080S15062,1,1851-03-20 18:00:00,Not reported,-15,62.4
1851080S15063,2,1851-03-21 06:00:00,Not reported,-15.1,62.5
1851080S21060,3,1851-03-21 06:00:00,Not reported,-21.2,59.5
1851080S21420,4,1851-03-20 18:00:00,Not reported,-21.3,59.5
1851175N26270,5,1851-06-23 12:00:00,Tropical,26.1,-90.4
1851181N19275,6,1851-06-29 12:00:00,Tropical,19,-84.6
1851187N22262,7,1851-07-05 12:00:00,Tropical,22.2,-97.6
1851192N12300,8,1851-07-10 12:00:00,Tropical,12,-60
1851214N14321,9,1851-08-01 12:00:00,Tropical,13.5,-39
1851228N13313,10,1851-08-16 00:00:00,Tropical,13.4,-47.2
1851241N27280,11,1851-08-28 12:00:00,Tropical,27,-80
1851250N20278,12,1851-09-06 12:00:00,Tropical,20,-82
1851254N34316,13,1851-09-10 12:00:00,Tropical,34.2,-44.2
1851256N26265,14,1851-09-12 12:00:00,Tropical,25.5,-95.5
1851256N33287,15,1851-09-13 00:00:00,Tropical,32.5,-73.5
1851260N32298,16,1851-09-16 12:00:00,Tropical,31.5,-62.5
1851283N24298,17,1851-10-09 12:00:00,Tropical,23.7,-61.6
1851289N29282,18,1851-10-16 00:00:00,Tropical,28.7,-78
1851305S08089,19,1851-11-01 06:00:00,Not reported,-8.3,88.6
1851309N19282,20,1851-11-04 12:00:00,Tropical,19.1,-77.6
1852001S12077,1,1852-01-01 06:00:00,Not reported,-12.2,77.3
1852001S13076,2,1852-01-01 06:00:00,Not reported,-12.7,76.3
1852021S14075,3,1852-01-21 06:00:00,Not reported,-13.8,75.3
1852232N21293,4,1852-08-19 00:00:00,Tropical,20.6,-67.3
1852241N34278,5,1852-08-28 06:00:00,Tropical,33.6,-82.5
1852247N14309,6,1852-09-03 06:00:00,Tropical,14,-51.2
1852247N32318,7,1852-09-02 12:00:00,Tropical,32,-42.5
1852249N17296,8,1852-09-05 00:00:00,Tropical,17,-64.1
1852264N13309,9,1852-09-20 00:00:00,Tropical,13,-50.6
1852266N17274,10,1852-09-21 12:00:00,Tropical,16.8,-86.1
1852271N15328,11,1852-09-26 12:00:00,Tropical,15,-31.9
1852273N11295,12,1852-09-28 12:00:00,Tropical,11,-65.5
1852278N14293,13,1852-10-03 12:00:00,Tropical,14,-67
1852331N24274,14,1852-11-26 00:00:00,Tropical,23.5,-86.2
1853216N26294,1,1853-08-03 12:00:00,Tropical,25.5,-66.5
